year,censor,quality,author,paper,SCC,CDR,PRTP,Equity,Uncertainty,Hope,Nordhaus,Tol,Ploeg,Tax
1993,1.00,0.02,0.01,0.02,0.60,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,0.24,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,1.47,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,0.04,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,0.22,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,0.05,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,0.33,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,0.10,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,0.60,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,0.19,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,1.14,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,0.50,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,2.99,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,0.05,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,0.27,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.07,0.04,0.02,0.06,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.07,0.04,0.02,0.38,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.07,0.04,0.02,0.13,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.07,0.04,0.02,0.76,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,0.24,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,1.42,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,0.63,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,3.76,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,0.19,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,1.14,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.07,0.04,0.02,0.28,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.07,0.04,0.02,1.69,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.07,0.04,0.02,0.56,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.07,0.04,0.02,3.38,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,1.07,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,6.42,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,2.80,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,16.82,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,0.83,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,5.01,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,1.27,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,7.62,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,2.50,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,15.03,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,5.10,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,28.64,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,12.45,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,74.70,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,83.30,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,499.97,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,125.22,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,751.14,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,250.26,NA,0.00,0,0,0,0,0,0,0
1993,0.94,0.04,0.02,0.02,1501.28,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,477.20,NA,0.00,0,0,0,0,0,0,0
1993,0.73,0.02,0.01,0.02,2862.91,NA,0.00,0,0,0,0,0,0,0
1993,0.98,0.02,0.01,0.02,1245.12,NA,0.00,0,0,0,0,0,0,0
1993,0.02,0.02,0.01,0.02,7470.47,NA,0.00,0,0,0,0,0,0,0
1993,1.00,3.00,1.00,1.00,13.59,5.00,3.00,0,0,0,1,0,0,1
1993,1.00,1.50,0.50,0.04,27.18,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,24.80,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,25.14,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,26.05,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,24.80,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,25.14,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,3.87,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,6.26,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,13.65,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,12.17,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,21.73,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,21.84,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,19.80,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,25.94,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,24.80,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,25.37,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,25.37,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,25.48,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,65.53,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,45.05,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,36.97,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,59.04,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,28.21,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,28.56,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,32.20,5.00,3.00,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,14.33,NA,NA,0,0,0,0,0,0,1
1993,1.00,0.06,0.02,0.04,51.08,NA,NA,0,0,0,0,0,0,1
1993,1.00,0.40,0.20,0.13,36.88,5.00,3.00,0,0,0,0,0,0,0
1993,1.00,0.40,0.20,0.13,54.84,5.00,3.00,0,0,0,0,0,0,0
1993,1.00,0.20,0.10,0.13,132.38,2.00,0.00,0,0,0,0,0,0,0
1993,1.00,0.20,0.10,0.13,113.47,2.00,0.00,0,0,0,0,0,0,0
1993,1.00,0.20,0.10,0.13,20.80,8.00,6.00,0,0,0,0,0,0,0
1993,1.00,0.20,0.10,0.13,35.93,8.00,6.00,0,0,0,0,0,0,0
1993,1.00,0.20,0.10,0.13,48.22,5.00,3.00,0,0,0,0,0,0,0
1993,1.00,0.20,0.10,0.13,57.68,5.00,3.00,0,0,0,0,0,0,0
1994,1.00,4.00,1.00,1.00,51.87,NA,NA,0,1,0,0,0,0,0
1994,1.00,3.00,1.00,1.00,12.90,5.00,3.00,0,0,0,1,0,0,1
1994,1.00,0.25,0.25,0.33,128.94,NA,0.00,0,0,0,0,0,0,0
1994,1.00,0.50,0.50,0.33,515.77,NA,0.00,0,0,0,0,0,0,0
1994,0.98,0.25,0.25,0.33,1289.42,NA,0.00,0,0,0,0,0,0,0
1995,1.00,3.00,1.00,1.00,34.18,5.00,3.00,0,0,0,0,0,0,1
1996,1.00,0.50,0.13,0.13,7.74,5.00,3.00,0,1,1,0,0,0,0
1996,1.00,0.25,0.06,0.13,12.89,5.00,3.00,0,1,1,0,0,0,0
1996,1.00,0.50,0.13,0.13,20.63,5.00,3.00,0,1,1,0,0,0,0
1996,1.00,0.50,0.13,0.13,20.63,5.00,3.00,0,1,1,0,0,0,0
1996,1.00,1.00,0.25,0.13,54.16,5.00,3.00,0,1,1,0,0,0,0
1996,1.00,0.50,0.13,0.13,118.63,4.00,2.00,0,1,1,0,0,0,0
1996,1.00,0.50,0.13,0.13,1134.69,2.00,0.00,0,1,1,0,0,0,0
1996,1.00,0.25,0.06,0.13,82.52,5.00,3.00,0,1,1,0,0,0,0
1995,1.00,2.00,0.50,0.50,21.33,4.91,2.30,0,1,0,0,0,0,0
1995,1.00,2.00,0.50,0.50,290.12,4.91,2.30,0,1,0,0,0,0,0
1996,1.00,0.13,0.04,0.06,219.20,2.00,0.00,0,0,0,0,0,0,0
1996,1.00,0.27,0.09,0.06,515.77,2.00,0.00,0,0,0,0,0,0,0
1996,1.00,0.10,0.03,0.06,193.41,2.10,0.10,0,0,0,0,0,0,0
1996,1.00,0.20,0.07,0.06,361.04,2.10,0.10,0,0,0,0,0,0,0
1996,1.00,0.07,0.02,0.06,82.52,3.00,1.00,0,0,0,0,0,0,0
1996,1.00,0.13,0.04,0.06,85.10,3.00,1.00,0,0,0,0,0,0,0
1996,1.00,0.03,0.01,0.06,33.52,5.00,3.00,0,0,0,0,0,0,0
1996,1.00,0.07,0.02,0.06,33.52,5.00,3.00,0,0,0,0,0,0,0
1996,1.00,0.27,0.09,0.06,670.50,2.00,0.00,1,0,0,0,0,0,0
1996,0.94,0.53,0.18,0.06,1521.52,2.00,0.00,1,0,0,0,0,0,0
1996,1.00,0.20,0.07,0.06,593.13,2.10,0.10,1,0,0,0,0,0,0
1996,1.00,0.40,0.13,0.06,1057.33,2.10,0.10,1,0,0,0,0,0,0
1996,1.00,0.13,0.04,0.06,244.99,3.00,1.00,1,0,0,0,0,0,0
1996,1.00,0.27,0.09,0.06,252.73,3.00,1.00,1,0,0,0,0,0,0
1996,1.00,0.07,0.02,0.06,100.57,5.00,3.00,1,0,0,0,0,0,0
1996,1.00,0.13,0.04,0.06,100.57,5.00,3.00,1,0,0,0,0,0,0
1996,1.00,1.50,0.50,0.50,123.63,0.00,-2.00,0,0,0,0,0,0,0
1996,1.00,1.50,0.50,0.50,42.32,0.00,-2.00,0,0,0,0,0,0,0
1996,0.89,1.00,1.00,1.00,1850.26,0.00,-2.00,0,0,0,0,0,0,0
1996,1.00,0.30,0.10,0.20,18.05,4.00,2.00,0,1,1,0,0,0,0
1996,1.00,3.00,1.00,1.00,61.89,4.00,2.00,0,1,1,0,0,0,0
1996,1.00,0.30,0.10,0.20,23.21,4.00,2.00,0,1,1,0,0,0,0
1996,1.00,0.30,0.10,0.20,49.00,4.00,2.00,0,1,1,0,0,0,0
1996,1.00,2.40,0.60,0.20,12.89,4.00,2.00,0,1,1,0,0,0,0
1996,1.00,0.30,0.10,0.20,74.79,4.00,2.00,0,1,1,0,0,0,0
1996,1.00,4.00,1.00,1.00,12.84,5.00,3.00,0,0,0,1,0,0,1
1997,1.00,2.70,0.90,0.50,24.14,5.00,3.00,0,1,0,1,0,0,1
1997,1.00,0.30,0.10,0.50,12.96,5.00,3.00,0,1,0,1,0,0,1
1998,1.00,0.75,0.25,0.33,34.98,0.00,3.00,0,0,0,0,0,0,1
1998,1.00,1.50,0.50,0.33,286.41,0.00,3.00,0,0,0,0,0,0,1
1998,1.00,0.75,0.25,0.33,319.20,0.00,3.00,0,0,0,0,0,0,1
1999,1.00,1.50,0.50,0.50,337.20,1.00,-1.00,1,0,0,0,0,0,0
1999,1.00,1.50,0.50,0.50,138.85,3.00,1.00,1,0,0,0,0,0,0
1999,1.00,1.50,0.50,0.50,317.36,1.00,-1.00,1,0,0,0,0,0,0
1999,1.00,1.50,0.50,0.50,146.78,3.00,1.00,1,0,0,0,0,0,0
1999,1.00,1.25,0.25,0.03,106.73,3.00,1.00,1,1,0,0,1,0,0
1999,1.00,0.25,0.05,0.03,110.29,3.00,1.00,1,0,0,0,1,0,0
1999,1.00,0.25,0.05,0.03,40.91,3.00,1.00,0,0,0,0,1,0,0
1999,1.00,0.25,0.05,0.03,117.41,3.00,1.00,1,0,0,0,1,0,0
1999,1.00,0.25,0.05,0.03,115.63,3.00,1.00,1,0,0,0,1,0,0
1999,1.00,0.25,0.05,0.03,99.62,3.00,1.00,1,0,0,0,1,0,0
1999,1.00,0.25,0.05,0.03,563.91,0.00,-2.00,1,1,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,432.27,0.00,-2.00,1,0,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,252.60,0.00,-2.00,0,0,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,640.40,0.00,-2.00,1,0,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,619.05,0.00,-2.00,1,0,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,512.32,0.00,-2.00,1,0,0,0,1,0,0
1999,1.00,0.25,0.05,0.03,304.19,1.00,-1.00,1,1,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,305.97,1.00,-1.00,1,0,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,129.86,1.00,-1.00,0,0,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,341.55,1.00,-1.00,1,0,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,332.65,1.00,-1.00,1,0,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,277.51,1.00,-1.00,1,0,0,0,1,0,0
1999,1.00,0.50,0.10,0.03,46.25,5.00,3.00,1,1,0,0,1,0,0
1999,1.00,0.10,0.02,0.03,46.25,5.00,3.00,1,0,0,0,1,0,0
1999,1.00,0.10,0.02,0.03,16.01,5.00,3.00,0,0,0,0,1,0,0
1999,1.00,0.10,0.02,0.03,49.81,5.00,3.00,1,0,0,0,1,0,0
1999,1.00,0.10,0.02,0.03,49.81,5.00,3.00,1,0,0,0,1,0,0
1999,1.00,0.10,0.02,0.03,44.47,5.00,3.00,1,0,0,0,1,0,0
1999,1.00,0.25,0.05,0.03,10.67,10.00,8.00,1,1,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,10.67,10.00,8.00,1,0,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,3.56,10.00,8.00,0,0,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,10.67,10.00,8.00,1,0,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,10.67,10.00,8.00,1,0,0,0,1,0,0
1999,1.00,0.05,0.01,0.03,10.67,10.00,8.00,1,0,0,0,1,0,0
1999,1.00,4.00,1.00,1.00,93.48,5.00,3.00,0,1,0,0,0,0,1
2000,1.00,3.00,1.00,1.00,13.65,NA,NA,0,0,0,1,0,0,1
2001,1.00,0.75,0.25,0.25,6.55,NA,3.00,0,0,0,0,0,0,1
2001,1.00,0.75,0.25,0.25,7.34,NA,3.00,0,0,0,0,0,0,1
2001,1.00,0.75,0.25,0.25,13.63,NA,3.00,0,0,0,0,0,0,1
2001,1.00,0.75,0.25,0.25,21.62,NA,3.00,0,0,0,0,0,0,1
2001,1.00,0.30,0.10,0.33,51.77,3.00,1.00,1,0,0,0,1,0,0
2001,1.00,0.30,0.10,0.33,6.94,3.00,1.00,0,0,0,0,1,0,0
2001,1.00,3.00,1.00,1.00,90.84,3.00,1.00,1,0,0,0,1,0,0
2001,1.00,2.40,0.80,0.33,10.12,3.00,1.00,0,1,0,0,1,0,0
2002,1.00,2.00,1.00,1.00,159.80,3.00,1.00,1,0,0,0,0,0,0
2005,1.00,0.42,0.08,0.17,31.75,2.00,0.00,0,0,0,0,1,0,0
2005,1.00,0.83,0.17,0.17,25.69,2.00,0.00,1,0,0,0,1,0,0
2005,1.00,0.83,0.17,0.17,6.06,3.00,1.00,0,0,0,0,1,0,0
2005,1.00,1.67,0.33,0.17,10.53,3.00,1.00,1,0,0,0,1,0,0
2005,1.00,0.42,0.08,0.17,-10.53,5.00,3.00,0,0,0,0,1,0,0
2005,1.00,0.83,0.17,0.17,-0.80,5.00,3.00,1,0,0,0,1,0,0
2003,1.00,0.30,0.10,0.11,12.55,4.00,2.00,0,0,0,0,0,0,0
2003,1.00,0.60,0.20,0.11,22.83,NA,2.00,0,0,0,0,0,0,0
2003,1.00,0.60,0.20,0.11,14.25,NA,2.00,0,0,0,0,0,0,0
2003,1.00,0.15,0.05,0.11,47.51,2.00,0.00,0,0,0,0,0,0,0
2003,1.00,0.30,0.10,0.11,73.98,NA,0.00,0,0,0,0,0,0,0
2003,1.00,0.30,0.10,0.11,50.98,NA,0.00,0,0,0,0,0,0,0
2003,1.00,0.15,0.05,0.11,3.24,7.00,5.00,0,0,0,0,0,0,0
2003,1.00,0.30,0.10,0.11,6.30,NA,5.00,0,0,0,0,0,0,0
2003,1.00,0.30,0.10,0.11,3.91,NA,5.00,0,0,0,0,0,0,0
2004,1.00,0.20,0.07,0.11,12.55,4.00,2.00,0,0,0,0,0,0,0
2004,1.00,0.40,0.13,0.11,22.83,NA,2.00,0,0,0,0,0,0,0
2004,1.00,0.40,0.13,0.11,14.25,NA,2.00,0,0,0,0,0,0,0
2004,1.00,0.20,0.07,0.11,47.51,2.00,0.00,0,0,0,0,0,0,0
2004,1.00,0.40,0.13,0.11,73.98,NA,0.00,0,0,0,0,0,0,0
2004,1.00,0.40,0.13,0.11,50.98,NA,0.00,0,0,0,0,0,0,0
2004,1.00,0.20,0.07,0.11,3.24,7.00,5.00,0,0,0,0,0,0,0
2004,1.00,0.40,0.13,0.11,6.30,NA,5.00,0,0,0,0,0,0,0
2004,1.00,0.40,0.13,0.11,3.91,NA,5.00,0,0,0,0,0,0,0
2003,1.00,1.33,0.33,0.33,44.47,NA,0.00,0,1,0,0,1,0,0
2003,1.00,1.33,0.33,0.33,13.70,NA,1.00,0,1,0,0,1,0,0
2003,1.00,1.33,0.33,0.33,4.09,NA,3.00,0,1,0,0,1,0,0
2003,1.00,3.00,1.00,1.00,40.70,3.00,1.00,1,0,0,0,0,0,0
2003,1.00,1.00,1.00,1.00,253.00,NA,NA,0,0,0,0,0,0,0
2004,1.00,0.83,0.17,0.08,140.53,NA,0.00,0,0,0,0,1,0,0
2004,1.00,0.83,0.17,0.08,302.41,NA,0.00,1,0,0,0,1,0,0
2004,1.00,0.83,0.17,0.08,44.83,NA,1.00,0,0,0,0,1,0,0
2004,1.00,0.83,0.17,0.08,167.39,NA,1.00,1,0,0,0,1,0,0
2004,1.00,0.83,0.17,0.08,9.07,NA,3.00,0,0,0,0,1,0,0
2004,1.00,0.83,0.17,0.08,80.23,NA,3.00,1,0,0,0,1,0,0
2004,1.00,0.01,0.00,0.08,134.48,NA,0.00,0,0,0,0,1,0,0
2004,1.00,0.01,0.00,0.08,298.50,NA,0.00,1,0,0,0,1,0,0
2004,1.00,0.01,0.00,0.08,43.40,NA,1.00,0,0,0,0,1,0,0
2004,1.00,0.01,0.00,0.08,166.50,NA,1.00,1,0,0,0,1,0,0
2004,1.00,0.01,0.00,0.08,8.89,NA,3.00,0,0,0,0,1,0,0
2004,1.00,0.01,0.00,0.08,80.05,NA,3.00,1,0,0,0,1,0,0
2004,1.00,1.00,0.50,0.50,82.52,NA,1.00,0,0,0,0,0,0,0
2004,0.94,1.00,0.50,0.50,1521.52,NA,0.00,1,0,0,0,0,0,0
2004,1.00,0.47,0.24,0.11,296.04,NA,0.00,0,0,0,0,0,0,0
2004,1.00,0.02,0.01,0.11,837.12,NA,0.00,0,0,0,0,0,0,0
2004,1.00,0.02,0.01,0.11,59.53,NA,0.00,0,0,0,0,0,0,0
2004,1.00,0.47,0.24,0.11,108.31,NA,1.00,0,0,0,0,0,0,0
2004,1.00,0.47,0.24,0.11,54.16,NA,2.00,0,0,0,0,0,0,0
2004,1.00,0.47,0.24,0.11,31.29,NA,3.00,0,0,0,0,0,0,0
2004,1.00,0.02,0.01,0.11,407.98,NA,1.00,0,0,0,0,0,0,0
2004,1.00,0.02,0.01,0.11,167.29,NA,2.00,0,0,0,0,0,0,0
2004,1.00,0.02,0.01,0.11,86.65,NA,3.00,0,0,0,0,0,0,0
2004,1.00,0.10,0.05,0.50,472.30,NA,0.00,0,0,0,0,0,0,0
2004,1.00,1.90,0.95,0.50,18.89,NA,3.00,0,0,0,0,0,0,0
2006,1.00,0.71,0.24,0.02,103.18,NA,0.00,0,0,0,0,1,0,0
2006,1.00,0.71,0.24,0.02,19.57,NA,1.00,0,0,0,0,1,0,0
2006,1.00,0.71,0.24,0.02,-4.09,NA,3.00,0,0,0,0,1,0,0
2006,1.00,0.71,0.24,0.02,32.02,NA,NA,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,96.06,NA,0.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,19.57,NA,1.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,-4.45,NA,3.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,30.24,NA,NA,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,96.06,NA,0.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,23.13,NA,1.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,-0.15,NA,3.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,35.58,NA,NA,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,96.06,NA,0.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,17.79,NA,1.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,-4.45,NA,3.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,30.24,NA,NA,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,97.84,NA,0.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,19.57,NA,1.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,-4.45,NA,3.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,32.02,NA,NA,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,103.18,NA,0.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,21.35,NA,1.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,-4.09,NA,3.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,32.02,NA,NA,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,129.86,NA,0.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,28.46,NA,1.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,-2.85,NA,3.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,42.69,NA,NA,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,167.22,NA,0.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,37.36,NA,1.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,-1.32,NA,3.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,53.37,NA,NA,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,587.03,NA,0.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,158.32,NA,1.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,30.24,NA,3.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,177.89,NA,NA,0,0,0,0,1,0,0
2006,0.76,0.00,0.00,0.02,2668.34,NA,0.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,640.40,NA,1.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,133.42,NA,3.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,480.30,NA,NA,0,0,0,0,1,0,0
2006,0.52,0.00,0.00,0.02,4269.34,NA,0.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,1031.76,NA,1.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,213.47,NA,3.00,0,0,0,0,1,0,0
2006,1.00,0.00,0.00,0.02,640.40,NA,NA,0,0,0,0,1,0,0
2011,1.00,0.41,0.14,0.02,553.00,NA,0.00,0,1,0,0,1,0,0
2011,1.00,0.00,0.00,0.02,536.00,NA,0.00,0,1,0,0,1,0,0
